Brand Name,Composition,Manufacturer,Form,Strength,Batch No,Expiry Date,Stock,GST %,MRP,List Price
Ahabir 500mg,ABIRATERONE ACETATE,HETERO,,500,,,,5,30796.88,
Albucel 20gm ,HUMAN NORMAL ALBUMIN,INTAS,,20,,,,5,7260,
Anfoe 4k ,ERYTHROPOIETIN,LA RENON,,4000,,,,5,1338.75,
Aprecap tab ,APREPITANT,GLENMARK,,150,,,,5,2337.19,
Arpimune 100mg,CYCLOSPORIN,RPG LIFESCIENCE,,100,,,,5,541.25,
Azadine 100mg,AZACITADINE,GLENMARK,,100,,,,5,4929.84,
Bevacirel 400mg,BEVACIZUMAB,RELIANCE,,400,,,,5,53888.51,
Bonmax pth ,TERIPERATIDE,SUN PHARMA,,750,,,,5,7211.25,
Ca Atra 10mg ,ALL TRANS RETINOLIC ACID-TRETINOIN,JENOME BIOPHAR PVT LTD,,,,,,5,,
Candipoz gr 300mg,POSACONAZOLE,GLENMARK,,,,,,5,8469.37,
Capsy 500,CAPECITABINE,INTAS,,,,,,5,1183.58,
COLymonas 4.5,COLISTIMETHATE SODIUM,GLENMARK,,,,,,5,6989.06,
Colymonas 3,COLISTIMETHATE SODIUM,GLENMARK,,,,,,5,3083,
Darberel 40mg ,DARBEPOETIN,RELIANCE,,,,,,5,2798,
Denosurel 120mg,DENOSUMAB,RELIANCE,,,,,,5,39118,
DOceaqualip 80,DOCETAXEL,INTAS,,,,,,5,19415.63,
Doceaqualip 20,DOCETAXEL,INTAS,,,,,,5,4854.38,
ELEFTHA 375,TRASTUZUMAB,INTAS,,,,,,5,14053.13,
ELEFTHA 440,TRASTUZUMAB,INTAS,,,,,,5,19202.1,
Eleftha 150,TRASTUZUMAB,INTAS,,,,,,5,6491.72,
Elores 1.5mg,CEFTRIAXONE +DISODIUM EDETATE+ SULBACTAM,CIPLA,,,,,,5,1166.7,
Emprogest gel ,PROGESTERONE ,EMCURE,,,,,,5,272.44,
Encicarb 1k ,FERRIC CARBOXYMALTOSE,EMCURE,,,,,,5,6085.3,
Entaliv 0.5,ENTECAVIR,DR. REDDY,,,,,,5,2705.78,
Eposis 4k ,ERYTHROPOIETIN,MICRO LABS,,,,,,5,1125,
Esentra 120mg,DENOSUMAB,INTAS,,,,,,5,29947.5,
Evaparin 40mg ,ENOXAPARIN,INTAS,,,,,,5,475.52,
Evaparin cartage ,ENOXAPARIN,INTAS,,,,,,5,3588.83,
Evermil 5mg ,EVEROLIMUS,GLENMARK,,,,,,5,7450,
Fonyl 4gm ,FOSFOMYCIN,GLENMARK,,,,,,5,6676.88,
Glenza 80mg,ENZALUTAMIDE,GLENMARK,,,,,,5,6093.75,
GLEnza 160mg,ENZALUTAMIDE,GLENMARK,,,,,,5,6672.66,
Globucel 10g ,HUMAN NORMAL IMMUNOGLOBULIN,INTAS,,,,,,5,20517.57,
Hepbest 25mg ,TENOFOVIR ALAFENAMIDE,MYLAN,,,,,,5,1539,
I nem 500mg,IMIPENAM+ CILASTATIN,GLENMARK,,,,,,5,3332.81,
Ibyra 150mg,OLAPARIB,ZYDUS,,,,,,5,14995,
Imatirel 400mg,IMATINIB,RELIANCE,,,,,,5,5607.95,
Isuvaz 100mg,ISAVUCONAZOLE,GLENMARK,,,,,,5,8211.57,
Juvobin 40mg,DARBEPOETIN,LA RENON,,,,,,5,2369.99,
Kestead xt ,ALPHA KETOANALOGUE,STEADFAST MEDISHIELD,,,,,,5,660,
Larinject  500MG,FERRIC CARBOXYMALTOSE,LA RENON,,,,,,5,1973.43,
Ledifos ,LEDIPASVIR + SOFOSBUVIR,HETERO,,,,,,5,23437.5,
Lenalid 15,LENALIDOMIDE,NATCO,,,,,,5,5901.42,
Lenva 4mg ,LENVATINIB,HETERO,,,,,,5,2258.44,
Lmwx 40mg ,ENOXAPARIN,ABBOTT,,,,,,5,478.51,
Maball 500mg,RITUXIMAB,HETERO,,,,,,5,717.77,
Mabtas N 500mg,RITUXIMAB,INTAS,,,,,,5,40690.99,
Mabura 40mg ,ADALIMUMAB,HETERO,,,,,,5,23437.5,
MEROFic plus 1G,MEROPENAM,GUFIC LIFESCIENCES,,,,,,5,1017.72,
Merofic plus 500,MEROPENAM,GUFIC LIFESCIENCES,,,,,,5,603.18,
Merrobe 1gm ,MEROPENAM,GLENMARK,,,,,,5,1017.77,
Mofecon 500mg,MYCOPHENOLATE MOFETIL,CONCORD BIOTECH,,,,,,5,775.64,
Mycofit s360,MYCOPHENOLATE MOFETIL,INTAS,,,,,,5,1463,
Mycomune s360mg,MYCOPHENOLATE MOFETIL,ZYDUS,,,,,,5,1123,
Myezom 2mg ,BORTEZOMIB,DR. REDDY,,,,,,5,2105,
Neukine pfs ,FILGRASTIM,INTAS,,,,,,5,1239.17,
Neukine vail ,FILGRASTIM,INTAS,,,,,,5,577.5,
Nexiron Lp ,IRON SUCROSE,ZYDUS CADILA,,,,,,5,96.99,
Ninlib 200mg,NILOTINIB,HETERO,,,,,,5,4000,
Nodosis ,SODIUM BICARBONATE,STEADFAST MEDISHIELD,,,,,,5,53.44,
Octride 100mg,OCTREOTIDE,SUN PHARMA,,,,,,5,20900,
Olimab 60mg ,DENOSUMAB,INTAS,,,,,,5,14053.13,
Pacliaqulip 100mg,PACLITAXEL,INTAS,,,,,,5,10200.94,
Peg Religrast ,PEGFILGRASTIM,RELIANCE,,,,,,5,4847.81,
Pegasta 6mg ,PEGYLATED R-HUMAN GRANULOCYTE,INTAS,,,,,,5,3660.94,
Picasa gr 100mg,POSACONAZOLE,INTAS,,,,,,5,5661.56,
Progynova 2mg,ESTRADIOL VALERATE,BAYER ZYDUS,,,,,,5,590.63,
REDitux 500MG,RITUXIMAB,DR. REDDY,,,,,,5,38968.83,
