Brand Name,Composition,Manufacturer,Form,Strength,Batch No,Expiry Date,Stock,GST %,MRP,List Price
ICIKINASE 15LACS 1*1,STREPTOKINASE,ABBOTT,INJECTION,0.75,XYZ,01-10-2028,10,5,1971.08,542.86
INFLUVAC TETRA 1*1,INFLUENZA,ABBOTT,INJECTION,0.75,XYZ,01-10-2028,2,5,2688,1200
LMWX 40 INJ- ENOXAPARIN 1*1,ENOXAPARIN,ABBOTT,INJECTION,0.75,XYZ,01-10-2028,565,5,478.51,104.76
LMWX 60MG AMP-ENOXAPARIN 1*1,ENOXAPARIN,ABBOTT,INJECTION,0.75,XYZ,01-10-2028,245,5,717.77,126.67
MOXYNIC 1.2GM 1*1,CLAVAM,ABBOTT,INJECTION,0.75,XYZ,01-10-2028,24,5,147.67,44.2
ACUHES 200 (6%) 1*1,HYDROXYSTARCH,ACULIFE,INJECTION,0.75,XYZ,01-10-2028,80,5,1080.79,258.06
ACULIPID 20% 1*1,IV FAT EMULSION,ACULIFE,INJECTION,0.75,XYZ,01-10-2028,105,5,1317.69,484.5
ACULIPID MCT-LCT 1*1,INTRAVENOUS,ACULIFE,INJECTION,0.75,XYZ,01-10-2028,16,5,1512.5,535.5
FEVERACH 100ML 1*1,PARACETAMOL,ACULIFE,INJECTION,0.75,XYZ,01-10-2028,60,5,670.08,53.86
GLUTARITE 50ML 1*1,L-ALANYL L-GLUTAMINE,ACULIFE,INJECTION,0.75,XYZ,01-10-2028,29,5,3074.61,661.98
LIGNONEXT INJ 30ML 1*1,LIGNOCAINE 2%,ACULIFE,INJECTION,0.75,XYZ,01-10-2028,380,5,35.6,18.98
PHYSIOVEN 10 1*1,AMINO ACID,ACULIFE,INJECTION,0.75,XYZ,01-10-2028,32,5,1575,600
QUIFOL- 1% 20ML 1*1,PROPOFOL,ACULIFE,INJECTION,0.75,XYZ,01-10-2028,90,5,136.5,50.6
REOMIN 10 PLUS 1*1,AMINO ACID,ACULIFE,INJECTION,0.75,XYZ,01-10-2028,36,5,1968.87,459
REOMIN 5S 1*1,AMINO ACID,ACULIFE,INJECTION,0.75,XYZ,01-10-2028,73,5,932.46,220
REOMIN NEPHRO 7% 1*1,AMINO ACID,ACULIFE,INJECTION,0.75,XYZ,01-10-2028,134,5,1244.49,302.94
REOMIX PERI 1000ML- TPN 1*1,SURGICAL,ACULIFE,INJECTION,0.75,XYZ,01-10-2028,29,5,4658.5,1324.98
REOMIX PERI 1500ML-TPN 1*1,SURGICAL,ACULIFE,INJECTION,0.75,XYZ,01-10-2028,45,5,5700.67,1794.08
REOZINC 1*1,ZINC CHLORIDE,ACULIFE,INJECTION,0.75,XYZ,01-10-2028,100,5,675,250
A TO Z NS SYP 1*1,MULTIVITAMIN,ALKEM,INJECTION,0.75,XYZ,01-10-2028,2,5,205.55,156.61
AMIJECT 500MG 1*1,AMIKACIN,ALKEM,INJECTION,0.75,XYZ,01-10-2028,2,5,113.74,19.52
DORIKEM 500MG INJ 1*1,DORIPENAM,ALKEM,INJECTION,0.75,XYZ,01-10-2028,134,5,1500,600
P-40MG TAB 1*1,PANTAPARAZOLE,ALKEM,INJECTION,0.75,XYZ,01-10-2028,100,5,128.44,15.9
ROMY 250MG 1*1,ROMYPLASTIN,ALKEM,INJECTION,0.75,XYZ,01-10-2028,29,5,3985.25,1133.33
TAXIM 500 VIAL 1*1,CEFOTAXIM,ALKEM,INJECTION,0.75,XYZ,01-10-2028,25,5,25.59,15.98
TAXIMEX 1.5GM 1*1,CEFOTAXIM AND SALBACTAM,ALKEM,INJECTION,0.75,XYZ,01-10-2028,50,5,95.63,64.76
TGKEM INJ 1*1,TIGICYCLINE,ALKEM,INJECTION,0.75,XYZ,01-10-2028,330,5,1331.25,267.86
ALEMIN PLUS 1*1,CURCUMA LONGA COENZYME Q10,ALLEMCURE,INJECTION,0.75,XYZ,01-10-2028,55,5,2224.57,774
BETA INJ 1*1,BETAMETHASONE,ALTO,INJECTION,0.75,XYZ,01-10-2028,40,5,4.83,2.95
ZINCOVIT SYP 1*1,MULTIVITAMIN,APEX,INJECTION,0.75,XYZ,01-10-2028,1,5,160.17,122.03
SECONOXON 3GM INJ 1*1,CEFTRIAXONE+SALBACTAM=EDTA,BDR,INJECTION,0.75,XYZ,01-10-2028,120,5,2632.5,525
HUCOG-5000 IU AMP 1*1,HUMAN CHORIONIC GONADOTROPIN,BHARAT,INJECTION,0.75,XYZ,01-10-2028,11,5,438.33,180
ULTRASTAR TAB 1*1,TRAMADOL+PCM,BIOHUB,INJECTION,0.75,XYZ,01-10-2028,61,5,204.38,21.96
BCEZONE 1GM 1*1,CEFOPEAZONE,BIOSANS LIFECARE,INJECTION,0.75,XYZ,01-10-2028,210,5,702.19,23.66
EITCO INJ 1*1,CITICOLINE,BIOSANS LIFECARE,INJECTION,0.75,XYZ,01-10-2028,120,5,374.06,17.14
ANTI-D 300MCG 1*1,ANTI D,BSV,INJECTION,0.75,XYZ,01-10-2028,8,5,4469.28,3200
REGENTA 2GM VAIL 1*1,GENTAMYCIN,CARE HEALTH,INJECTION,0.75,XYZ,01-10-2028,400,5,10.85,4.75
ANIDUCEL 100MG 1*1,ANIDULAFUNGIN,CELON,INJECTION,0.75,XYZ,01-10-2028,1,5,15942,2350
CELOCORT 100MG 1*1,HYDROCORTISONE,CELON,INJECTION,0.75,XYZ,01-10-2028,200,5,47.8,13.5
CELODATE 20MG 1*1,ETOMIDATE,CELON,INJECTION,0.75,XYZ,01-10-2028,10,5,535.55,150
CELTRANZ 500MG INJ 1*1,TRENEXAMIC ACID,CELON,INJECTION,0.75,XYZ,01-10-2028,2000,5,73.2,9.5
CIGNOKEN 2% INJ 1*1,LIGNOCAINE 2%,CELON,INJECTION,0.75,XYZ,01-10-2028,65,5,32.58,16.6
DALOCEL 300MG INJ 1*1,CLINDAMYCIN,CELON,INJECTION,0.75,XYZ,01-10-2028,230,5,129.25,25
DALOCEL 600MG INJ 1*1,CLINDAMYCIN,CELON,INJECTION,0.75,XYZ,01-10-2028,110,5,258.75,45
NACEL 1000MG 1*5,ACETYL CYSTEINE,CELON,INJECTION,0.75,XYZ,01-10-2028,25,5,123.98,40.18
NACEL 400MG INJ 1*1,ACETYL CYSTEINE,CELON,INJECTION,0.75,XYZ,01-10-2028,16,5,49.5,14
NORBIT 4MG 1*1,NORADRENALINE,CELON,INJECTION,0.75,XYZ,01-10-2028,300,5,42.66,11
ORINTHO 1*1,L-ORNITHINE L-ASPARTATE,CELON,INJECTION,0.75,XYZ,01-10-2028,50,5,594.38,40
PROSTACEL 500MCG 1*1,ALPROSTADIL,CELON,INJECTION,0.75,XYZ,01-10-2028,34,5,6411.5,1350
RETOLON INJ 1*1,TERLIPRESSIN,CELON,INJECTION,0.75,XYZ,01-10-2028,3,5,2679.38,223.21
VIBRO 10MG 1*1,VECURONIUM BROMIDE INJ,CELON,INJECTION,0.75,XYZ,01-10-2028,274,5,123,50
CBCETAM 500MG-LEVETIRACETAM 1*1,LEVETRECTAM,CHANDRA BHAGAT,INJECTION,0.75,XYZ,01-10-2028,1193,5,120,12
CBRAC 3GM/15ML 1*1,PIRACETAM,CHANDRA BHAGAT,INJECTION,0.75,XYZ,01-10-2028,432,5,177.19,16.8
CBRONE 150MG/3ML 1*1,AMIODERONE,CHANDRA BHAGAT,INJECTION,0.75,XYZ,01-10-2028,120,5,66.09,12
MUFOST 1G/5ML (ACETYLCYSTEINE) 1*1,ACETYL CYSTEINE,CHANDRA BHAGAT,INJECTION,0.75,XYZ,01-10-2028,150,5,123.94,16
MUFOST 400MG/2ML 1*1,ACETYL CYSTEINE,CHANDRA BHAGAT,INJECTION,0.75,XYZ,01-10-2028,100,5,52.8,8
SAMCY 300MG/2ML 1*1,CLINDAMYCIN,CHANDRA BHAGAT,INJECTION,0.75,XYZ,01-10-2028,200,5,127,18
SAMCY INJ 600 (CLINDAMYCIN) 1*1,CLINDAMYCIN,CHANDRA BHAGAT,INJECTION,0.75,XYZ,01-10-2028,92,5,254,30
V-STAT 50MCG 1*1,OCTREOTIDE,CHANDRA BHAGAT,INJECTION,0.75,XYZ,01-10-2028,200,5,345,35
AZEE 500MG VIAL 1*1,AZITHROMYCIN,CIPLA,INJECTION,0.75,XYZ,01-10-2028,10,5,214.93,104.76
BUDECORT RESP 1*1,BUDESONIDE,CIPLA,INJECTION,0.75,XYZ,01-10-2028,16,5,999.38,561.9
DUOLIN RESP 1*1,LEVOSALBUTAMOL+IPRATROPIUM,CIPLA,INJECTION,0.75,XYZ,01-10-2028,545,5,27.43,17.5
DYTOR INJ 1*1,TORSEMIDE,CIPLA,INJECTION,0.75,XYZ,01-10-2028,60,5,24.89,17.68
ELORES 1.5GM VAIL 1*1,CEFTRIAXONE SALBACTAM EDTA,CIPLA,INJECTION,0.75,XYZ,01-10-2028,615,5,1283.36,400
ELORES 3GM VAIL 1*1,CEFTRIAXONE SALBACTAM EDTA,CIPLA,INJECTION,0.75,XYZ,01-10-2028,77,5,2580.32,964.29
GARDSIL 9 1*1,GARDASIL,CIPLA,INJECTION,0.75,XYZ,01-10-2028,1,5,10850,8069
TAZACT 4.5 1*1,PIPZO,CIPLA,INJECTION,0.75,XYZ,01-10-2028,310,5,419.34,68.57
TENVIR 300MG 1*1,TENOFOVIR DISOPRPOOX,CIPLA,INJECTION,0.75,XYZ,01-10-2028,2,5,1469.15,771.43
VIATRAN 3MG 1*1,CEFAPAROZONE SALBACTAM,CIPLA,INJECTION,0.75,XYZ,01-10-2028,10,5,1446.41,250
