Brand Name,Composition,Manufacturer,Form,Strength,Batch No,Expiry Date,Stock,GST %,MRP,List Price
AZOCIN,AZITHROMYCIN INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,500MG,25GK20F,01-10-2027,1000,5,218.00,45.00
CEP-1000,CEFEPIME INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,1000 MG,B25310H,01-08-2027,1000,5,467.00,46
CBTAZ ,CEFEPIME & TAZOBACTAM INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,1.125GM,25DL05G,01-05-2027,2180,5,561.00,59
CBMYX ,POLYMYXIN B INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,500000 U,L25IE009A,01-11-2027,1550,5,2807.00,74
CBFOS,FOSFOMYSIN SODIUM  INJ,CHANDRA BHAGAT PHARMA LTD,INJECTION, 4GM,CBF-04,01-09-2027,490,5,5624.00,440
CEFROX ,CEFUROXIME SODIUM INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,1.5 GM,B25267B,01-07-2027,2848,5,361.00,43
CEFROX,CEFUROXIME SODIUM INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,750 MG,ROXS-03,01-05-2026,1000,5,280.00,28
CEFZIDIME ,CEFTAZIDIME INJ,CHANDRA BHAGAT PHARMA LTD,INJECTION, 1 G,B25436C,01-10-2027,1500,5,242.00,46
CEFZIDIME TZ ,CEFTAZIDIME & TAZOBACTAM INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,1.125 GM,B25346A,01-08-2027,749,5,345.00,59
CEZONE PLUS ,CEFTRIAXONE & SULBACTAM INJ,CHANDRA BHAGAT PHARMA LTD,INJECTION, 1.5 GM,DC25061L,01-09-2027,3149,5,419.00,28
CEZONE,CEFTRIAXONE INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,1 GM,DC25076T,01-09-2027,14890,5,66.00,18
CIMISPECT,IMIPENEM & CILASTATIN INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,1 GM,25DJ03N,01-09-2027,1508,5,2061.00,185
CLAUVMENTIN,AMOXYCILLIN & CLAVULANATE POTASSIUM INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,1.2 G,25DL20C,01-05-2027,8267,5,151.00,35
COLISTIN ,COLISTIMETHATE SODIUM INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,1 MIU,COL1-18,01-08-2027,1800,5,1217.00,40
COLISTIN ,COLISTIMETHATE SODIUM INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,2 MIU,N25328B,01-11-2027,6000,5,2249.00,70
COLISTIN ,COLISTIMETHATE SODIUM INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,3 MIU,N25287C,01-10-2027,5180,5,3280.00,95
COLISTIN,COLISTIMETHATE SODIUM INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,4.5 MIU,N25287C,01-04-2027,1500,5,5624.00,175
DENEM,DORIPENEM INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,500 MG,B25440A,01-10-2027,888,5,4217.00,490
DOXYGUARD ,DOXYCYCLINE INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,100 MG,25GJ26B,01-09-2027,11436,5,536.90,28
KLARINTON ,CLARITHROMYCIN INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,500 MG,KLAR-06,01-09-2027,972,5,1780.00,115
MEPLIFE –S,MEROPENEM &SULBACTAM INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,1.5 GM,DM25009G,01-09-2027,1390,5,2999.00,110
MEROSPECT ,MEROPENEM INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,125 MG,25DJ37B,01-09-2027,1270,5,365.00,27
MEROSPECT ,MEROPENEM INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,500 MG,25DK25I,01-10-2027,1992,5,772.00,55
MEROSPECT ,MEROPENEM INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,1 G,25DK23E,01-10-2027,3677,5,1017.00,88
NUEZANE FORTE ,CEFOPERAZONE & SULBACTAM INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,1.5 G,25DK18D,01-10-2027,10048,5,842.00,34
NUPERAZONE,CEFOPERAZONE  INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,1 GM,25DJ24F,01-09-2027,1965,5,210.00,26
NUPERAZONE PLUS 2 G ,CEFOPERAZON 1 G & SULBACTAM 1 G,CHANDRA BHAGAT PHARMA LTD,INJECTION, 2 G ,B25286B,01-07-2027,1000,5,435.00,44
NUPERAZONE 3G,CEFOPERAZONE 2 G  & SULBACTAM 1 G  INJ,CHANDRA BHAGAT PHARMA LTD,INJECTION,3G,D0392514C,01-11-2027,2298,5,726.00,63
NUPERAZONE FORTE ,CEFOPERAZONE 1 G  & SULBACTAM 500 INJ,CHANDRA BHAGAT PHARMA LTD,INJECTION,1.5 G,B25475B,01-10-2027,9931,5,467.00,34
PIPTAL ,PIPERACILLIN TAZOBACTAM INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,1.125 GM,PPTS-07,01-08-2027,1670,5,106.00,26
PIPTAL ,PIPERACILLIN TAZOBACTAM INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,2.25 GM,25DJ34N,01-09-2027,3438,5,204.00,38
PIPTAL ,PIPERACILLIN TAZOBACTAM INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,4.5 GM,D10425108A,01-07-2027,4910,5,426.00,58
PITALIN-COMBIPACK ,PIPERACILLIN TAZOBACTAM INJ,CHANDRA BHAGAT PHARMA LTD,INJECTION, 4.5 GM,B25373F,01-09-2027,4498,5,426.00,65
TECON,TEICOPLANIN INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,200 MG,N25336C,01-11-2027,1000,5,1399.00,145
TECON,TEICOPLANIN INJ,CHANDRA BHAGAT PHARMA LTD,INJECTION, 400 MG,TE4-05,01-09-2027,1685,5,2699.00,245
TICARNATE ,TICARCILLIN AND CLAVULANIC ACID INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,3.1.G,TCNC-10,01-03-2027,761,5,999.00,223
TIGEGUARD ,TIGECYCLINE INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,50 MG,TGE-04,01-09-2027,2000,5,1124.00,135
TIGEMOR ,TIGECYCLINE INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,50 MG,TMR-03,01-09-2027,89,5,3749.00,135
VANACIN-CP,VANCOMYCIN HCL INJ. ,CHANDRA BHAGAT PHARMA LTD,INJECTION,500 MG,25GI18F,01-08-2027,3960,5,339.00,43
VANACIN-CP,VANCOMYCIN HCL INJ.,CHANDRA BHAGAT PHARMA LTD,INJECTION,1 G,25GK05M,01-10-2027,5800,5,502.00,77
CASFUNGEN*,CASPOFUNGIN ACETATE INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,50 MG,LY42520C,01-11-2027,300,5,14999.00,945
CASFUNGEN*,CASPOFUNGIN ACETATE INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,70 MG,K17724001,01-11-2027,100,5,14999.00,945
CLOPAM,PRALIDOXIME CHORIDE INJ,CHANDRA BHAGAT PHARMA LTD,INJECTION, 1 G,,,,5,356.00,74
CBIC  ,ASCORBIC ACID INJECTION IP,CHANDRA BHAGAT PHARMA LTD,INJECTION, 6ML,CVC-07,01-11-2027,6000,5,467.00,18
MAXIPARINE,ENOXAPARIN SODIUM INJ  ,CHANDRA BHAGAT PHARMA LTD,INJECTION,40 MG/0.4ML,25PI061A,01-08-2027,200,5,478.00,75
MAXIPARINE,ENOXAPARIN SODIUM INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,60MG/0.6ML,25PI063C,01-08-2027,1065,5,717.00,85
THROMBOPARIN ,HEPARIN SODIUM INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,"5,000IU/5ML",25VL166H,01-11-2027,9866,5,113.00,23
THROMBOPARIN ,HEPARIN SODIUM INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,"25,000 IU/5ML",25VI133B,01-08-2027,1200,5,320.00,75
FALSUN ,ARTESUNATE INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,60 MG,25GL38B,01-11-2027,6110,5,261.00,18
FALSUN ,ARTESUNATE INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,120 MG,25GL21E,01-11-2027,5935,5,485.00,25
HERZOVIR ,ACYCLOVIR INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,250 MG,25GH18A,01-07-2027,7545,5,455.00,18
HERZOVIR ,ACYCLOVIR INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,500 MG,25GJ24O,01-09-2027,5890,5,564.00,26
CBMOL ,PARACETAMOL INFUSION INJ,CHANDRA BHAGAT PHARMA LTD,INJECTION, 1 G /100 ML,250133,01-07-2027,8760,5,607.00,21
MPSS,METHYL PREDNISOLONE SODIUM SUCCINATE INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,40 MG,MSPS-20,01-09-2027,1780,5,48.70,18
MPSS,METHYL PREDNISOLONE SODIUM SUCCINATE INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,125 MG,MPSS-11,01-10-2027,5910,5,374.00,30
MPSS,METHYL PREDNISOLONE SODIUM SUCCINATE INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,500 MG,MSPM-17,01-08-2027,8060,5,749.00,100
MPSS,METHYL PREDNISOLONE SODIUM SUCCINATE INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,1 G,MSPL-14,01-10-2027,300,5,1499.00,190
MULTICORT,HYDROCORTISONE SODIUM SUCCINATE INJ,CHANDRA BHAGAT PHARMA LTD,INJECTION,100MG ,25GI09O,01-08-2027,3565,5,47.80,13
CBCETAM ,LEVETIRICETAM INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,100MG/5ML,CBCT-13,01-11-2027,30000,5,122.00,12
MANNIGYL,MANNITOL WITH GLYCERIN INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,100 ML,250244,01-10-2027,2390,5,407.00,30
ANTACER,ESOMEPRAZOLE SODIUM INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,40 MG,25GJ10G,01-09-2027,5410,5,337.00,16
CBRAB,RABEPRAZOLE SODIUM INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,20 MG,CBRB-08,01-02-2027,2850,5,447.00,16
PANPROZOLE ,PANTOPRAZOLE INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,40 MG,25GI21A,01-08-2027,13088,5,53.90,7.5
SCOLAX*,SUCCINYL CHOLINE CHLORIDE INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,500 MG/10ML,GL071125,01-10-2027,10150,5,55.60,30
NEWPOL,PROPOFOL 1% W/V ,CHANDRA BHAGAT PHARMA LTD,INJECTION,10MG/20ML,,,,5,,
CBHAEMO,FERRIC CARBOXYMALTOSE INJECTION ,CHANDRA BHAGAT PHARMA LTD,INJECTION,50MG/ML,CBHL-01,01-07-2027,873,5,3281.00,245
CBHAEMO,FERRIC CARBOXYMALTOSE INJECTION,CHANDRA BHAGAT PHARMA LTD,INJECTION, 1G/20ML,CBHM-01,01-07-2027,776,5,6561.00,130
CEFROX-500,CEFUROXIME AXETIL TAB ,CHANDRA BHAGAT PHARMA LTD,TABLET,500 MG,CT25227A,01-05-2027,880,5,549.00,96
CLAUVMENTIN-625,AMOXYCILLIN & POTASSIUM CLAVULANATE TAB,CHANDRA BHAGAT PHARMA LTD,TABLET, 625 MG,AT25170C,01-12-2026,2040,5,195.00,74
CBRAB-DSR ,RABEPRAZOLE 20MG (EC)+DOMPERIDON 30 MG CAPS (SR) TAB ,CHANDRA BHAGAT PHARMA LTD,TABLET,20MG+30MG,UC-251055C,01-10-2027,4160,5,196.00,10
CB-RYSIN,TRYPSIN IP 48 MG BROMELAIN 90 MG  RUTOSIDE TRIHYDRATE TAB   ,CHANDRA BHAGAT PHARMA LTD,TABLET,48 MG + 90 MG,U2052T,01-05-2026,1166,5,206.00,21
CBPENIN  ,FAROPENEM SODIUM 200MG POTASSIUM CLAVULANATE 125 MG TAB ,CHANDRA BHAGAT PHARMA LTD,TABLET,200 MG+ 125 MG,CBT25089B,01-03-2027,303,5,1171.00,358
CBXIME ,CEFUROXIME 500MG + CLAVULANIC ACID 125 MG TAB,CHANDRA BHAGAT PHARMA LTD,TABLET,500MG + 125MG,CT25352I,01-07-2027,1980,5,515.00,149
CBSHINE ,COLLAGEN PEPTIDE  TYPE II 40 MG SODIUM NYALURONATE 30 MG CHONDROTIN  SULPHATE  200 MG VITAMIN C 35 MG TAB,CHANDRA BHAGAT PHARMA LTD,TABLET,40MG+30MG+200MG+35 MG,ADL-1081,01-10-2027,2448,5,281.00,24
